Id_Basol	Extracted_institution	BASOL_institution	Basias_institution
40.0029	{'usine AGRIVA', 'la Compagnie des Forges', 'les Forges', 'TIMAC AGRO', 'lieu AGRIVA', 'engrais de SOCADOUR', 'LBC , BAYONNE MANUTENTION', 'sur la commune de Tarnos', 'par la société RENO', 'AGRIVA', 'puis INTERFERTIL', 'ALGADE', 'Laminoir des Landes', 'Le Conseil Général des Landes', 'le BRGM', 'Aciéries de la Marine', 'Boucau', 'Antea Group', 'MAISICA', 'la CCIB', 'aciérie CELSA', "SATEC ( AGRIVA aujourd'hui"}	{'TIMAC AGRO'}	{''}
47.0009	{'la société SHELL DIRECT', 'La Société des Pétroles SHELL', 'le Préfet', 'SHELL DIRECT', 'la commune de Bon Encontre', 'HCTX', ', la DRIRE', 'SHELL', 'la DRIRE', 'URS AIX', 'la société des Pétroles SHELL', 'le Maire'}	{'PETROLES SHELL'}	{'SA SHELL Française'}
33.0045	{'la SIAP', 'le préfet', 'SIMOREP MICHELIN', 'SIAP'}	{'SIAP'}	{'SARP Industrie Aquitaine Pyrénées SIAP'}
33.0218	{'FIRST AQUITAINE INDUSTRIES', 'FORD de Bordeaux', 'Source PCE ancien stockage PCE', 'la société FORD AQUITAINE INDUSTRIES', 'GETRAG FORD TRANSMISSIONS', 'la DRIRE', 'GFT', 'FORD', 'EAUX SOUTERRAINES', 'FAI', 'PCE'}	{'FORD AQUITAINE INDUSTRIES'}	{'FORD FRANCE SA'}
64.0119	{'Capvern', 'la commune de Biarritz', 'Saint - Jean', 'la société MILABIA'}	{'Station service LECLERC MILABIA (ex MIDIS)'}	{'Midis SA'}
33.0103	{'la SA BAUDOU', 'Maître HIROU', 'groupe HUMEAU - BEAUPREAU', 'la SA MMB', 'la SA La Botte BAUDOU', 'la SA La Botte Baudou', 'la société nouvelle Baudou SA', 'la DREAL', 'La Dronne', 'de la Gironde', 'la responsabilité défaillante', 'la Dronne', 'BAUDOU', 'BAUDOU SA', 'commerce la botte baudou', 'Préfet de la gironde', 'la botte BAUDOU SA', 'la Cie Industrielle du Sud - Ouest', 'Manufacture Maurice Baudou', 'la SIAP', 'au Préfet de la Gironde', 'la DRIRE', 'La SA MMB', 'le Directeur des Finances Publiques', 'RECOLEMENT'}	{'BAUDOU'}	{'SCI Manufacture Baudou'}
64.0063	{'la société TOYAL EUROPE', 'La DRIRE', 'la DRIRE'}	{'TOYAL EUROPE'}	{'TOYAL Europe. Aluminium Alcan De France'}
33.0097	{'le CEBTP', 'la Communauté Urbaine de Bordeaux', 'RESTRICTIONS', 'GEOTEC'}	{'Ateliers du Tramway'}	{'CUB'}
47.0026	{"La société MEC D' AQUITAINE", 'la DREAL', 'TEREO', 'Bockland', 'GPM Industries', 'Tribunal de Commerce de Montauban', 'le préfet', 'la « SARL TEREO', ".S MEC d' AQUITAINE", 'études Arcagée', 'Arcagée', 'le site GPM Industries', "la société MEC D' AQUITAINE", 'le Tribunal de Commerce de Montauban', 'la DRIRE', "l' ESR", 'MEC D’ AQUITAINE', 'la « SAS MEC d’ Aquitaine'}	{"MECA D'Aquitaine"}	{"MEC d'Aquitaine"}
40.0127	{'a DRIRE', 'la Société SARL LARRERE', 'la DRIRE'}	{'LARRERE'}	{'Larrère Philippe'}
64.0040	{'la Société Tannerie de Villefranque', 'SCI ZA LANTEGIA', 'le Tribunal de Commerce'}	{'Tannerie de Villefranque'}	{'Tannerie de Villefranque'}
64.0008	{'SAFAM', ", le Syndicat Mixte pour l' Aménagement du Centre Européen de Fret ( SMACEF", 'la SAFAM', 'Centre Européen de Frêt', 'BRGM', 'Mousserolles', 'La société des Anciennes Fonderies et Ateliers de Mousserolles', 'la DRIRE', "SAFAM)n'"}	{'CENTRE EUROPEEN DE FRET'}	{'CENTRE EUROPEEN DE FRET'}
33.0440	{'VENDAYS', 'étiqueté XYLAMON', 'le Préfet', 'AMLS', 'XYLAMON PE5 SOLVAY )', 'Maître MANDON', 'la SARL AMLS', 'la SARL LALANNE'}	{'LALANNE Pierre - Vendays (AMLS)'}	{'S.A. LALANNE'}
64.0017	{'L’ ETAT', 'circulaire MEDD', 'la DREAL', "le Ministère de l' Environnement", 'La DREAL', 'la DRIRE', 'Gaz de France', 'la société CASTAGNET', 'GDF'}	{'Ancienne usine à gaz 25 Allées Marines'}	{'', 'Gaz de France'}
03.0001	{"une agence d' exploitation EDF GDF Services", 'la DPT', 'Gaz de France', "le Ministère de l' Environnement", 'Vichy - Cusset'}	{'Ancienne usine à gaz - Centre EDF GDF SERVICES'}	{'GAZ DE FRANCE'}
03.0035	{'La DRIRE', 'GIAT INDUSTRIES', 'la DREAL', 'MANURHIN', 'elle devient MANURHIN', 'MANURHIN DEFENSE', 'la société MANURHIN DEFENSE', 'la société GIAT INDUSTRIES', "la Com . d' Agglomération VVA", 'MATRA MANURHIN DEFENSE', 'les sociétés MANURHIN DEFENSE puis GIAT INDUSTRIES', 'La société GIAT INDUSTRIES', 'Haut - Rhin'}	{'MANURHIN DEFENSE'}	{'Sté MANURHIN DEFENSE'}
63.0054	{'SITA', 'Anoflex', 'la Dore', 'la société Anoflex', 'la DREAL', 'La Durolle', 'St Remy sur Durolle', 'les Forges Delaire', 'Soderax , Anoflex', 'Thiers'}	{'ANOFLEX (Anciennes forges DELAIRE)'}	{'ANOFLEX'}
03.0048	{'commerce de Clermont - Ferrand', 'La société SAPC', 'la préfecture', 'préfet', 'la SA SAPC', 'la société APIM'}	{'APIM'}	{"Sté APIM (Applications de Peintures Industrielles Moulinoises). Anc. SAPC (Sté d'Application de Peinture du Centre)"}
63.0003	{'la Manufacture MICHELIN'}	{'USINE MICHELIN DES CARMES'}	{'MANUFACTURE MICHELIN'}
63.0030	{'Clermont - Ferrand', 'Streichenberger', 'la société ESSO', 'Clermont'}	{'ESSO S.A.F'}	{'ESSO FRANCE'}
63.0053	{'FORGINAL', 'ESKA', 'la DREAL', 'Thiers', 'SOCOTEC'}	{'Ets CHEVALERIAS Jean'}	{'CHEVALERIAS'}
03.0051	{'ANTEA', 'Saint Gobain', 'POINT P', 'Etablissements JPM', 'les établissements CREGUT'}	{'CREGUT Etablissements (Anciennement CHAUVAT / JPM)'}	{'Ets JPM/ CHAUVAT SA. Anc.SA CREGUT'}
03.0062	{'Diamantine', "d' AGIS Applications", 'Société Générale de Chimie Française', 'la Société Générale des Cires Françaises'}	{'AGIS (Ex DIAMANTINE)'}	{'Sté GENERALE DE CHIMIE FRANCAISE (DIAMANTINE). Sté GENERALE DES CIRES FRANCAISES'}
63.0041	{'La ville de Clermont Ferrand'}	{'Station service ESSO'}	{'ESSO FRANCE'}
03.0012	{'la société KLOSTER SPEED STEEL', 'ERASTEEL COMMENTRY', 'la SCAFA ( Société Commentrienne des Aciers Fins', 'la Vanadium Alloys', 'le groupe ERAMET', 'ERASTEEL'}	{'ERASTEEL COMMENTRY'}	{'ERASTEEL Commentry SA. S.C.A.F.V.A. (Sté Commentryenne des Aciers Fins Vanadium Alloys). Anc. Cie des FORGES CHATILLON/ COMMENTRY/ NEUVE-MAISON'}
